Position,Track Name,Artist,Streams,date,region,spotify_id
1,Blinding Lights,The Weeknd,41066317,2020-03-06--2020-03-13,global,0sf12qNH5qcw8qpgymFOqD
2,The Box,Roddy Ricch,37470185,2020-03-06--2020-03-13,global,0nbXyq5TXYPCO7pr3N8S4I
3,Dance Monkey,Tones And I,36071262,2020-03-06--2020-03-13,global,1rgnBhdG2JDFTbYkYRZAku
4,Don't Start Now,Dua Lipa,32169572,2020-03-06--2020-03-13,global,6WrI0LAC5M1Rw2MnX2ZvEg
5,La Difícil,Bad Bunny,29598307,2020-03-06--2020-03-13,global,6NfrH0ANGmgBXyxgV2PeXt
6,Intentions (feat. Quavo),Justin Bieber,27261529,2020-03-06--2020-03-13,global,4umIPjkehX1r7uhmGvXiSV
7,Si Veo a Tu Mamá,Bad Bunny,25902740,2020-03-06--2020-03-13,global,41wtwzCZkXwpnakmwJ239F
8,Say So,Doja Cat,25693166,2020-03-06--2020-03-13,global,3Dv1eDb0MEgF93GpLXlucZ
9,Tusa,KAROL G,25559126,2020-03-06--2020-03-13,global,7k4t7uLgtOxPwTpFmtJNTY
10,Ignorantes,Bad Bunny,24557120,2020-03-06--2020-03-13,global,38RIEav39FGi86jppxO0du
11,Falling,Trevor Daniel,24350925,2020-03-06--2020-03-13,global,4TnjEaWOeW0eKTKIEvJyCa
12,ROXANNE,Arizona Zervas,22926539,2020-03-06--2020-03-13,global,696DnlkuDOXcMAnKlTgXXK
13,Safaera,Bad Bunny,22902153,2020-03-06--2020-03-13,global,2DEZmgHKAvm41k4J3R2E9Y
14,Circles,Post Malone,19990944,2020-03-06--2020-03-13,global,21jGcNKet2qwijlDFuPiPb
15,Baby Pluto,Lil Uzi Vert,19868123,2020-03-06--2020-03-13,global,7hav1MHURQf5SAoPk0egqh
16,That Way - Bonus Track,Lil Uzi Vert,19179897,2020-03-06--2020-03-13,global,2ajzBr7vwHTEBeqDzcsNRC
17,La Santa,Bad Bunny,18935957,2020-03-06--2020-03-13,global,69vlMrzHwATKzupwNcUPyK
18,Someone You Loved,Lewis Capaldi,18934696,2020-03-06--2020-03-13,global,7qEHsqek33rTcFNT9PFqLf
19,Roses - Imanbek Remix,SAINt JHN,18241624,2020-03-06--2020-03-13,global,24Yi9hE78yPEbZ4kxyoXAI
20,Blueberry Faygo,Lil Mosey,18207525,2020-03-06--2020-03-13,global,22LAwLoDA5b4AaGSkg6bKW
21,P2,Lil Uzi Vert,18179065,2020-03-06--2020-03-13,global,3kW4z2pIj5VY5fLjBrMRL5
22,death bed (coffee for your head) (feat. beabadoobee),Powfu,18052083,2020-03-06--2020-03-13,global,7eJMfftS33KTjuF7lTsMCx
23,Godzilla (feat. Juice WRLD),Eminem,18003591,2020-03-06--2020-03-13,global,7FIWs0pqAYbP91WWM0vlTQ
24,Sunday Best,Surfaces,17775498,2020-03-06--2020-03-13,global,1Cv1YLb4q0RzL6pybtaMLo
25,Yummy,Justin Bieber,17419811,2020-03-06--2020-03-13,global,16wAOAZ2OkqoIDN7TpChjR
26,Vete,Bad Bunny,17198611,2020-03-06--2020-03-13,global,2n7ohqg1s68ToAHh4u9mcW
27,Memories,Maroon 5,17048480,2020-03-06--2020-03-13,global,2b8fOow8UzyDFAE27YhOZM
28,Life Is Good (feat. Drake),Future,16868529,2020-03-06--2020-03-13,global,5yY9lUy8nbvjM1Uyo1Uqoc
29,Stupid Love,Lady Gaga,16190908,2020-03-06--2020-03-13,global,2kJu14V7hbZw3I4K8L8SXb
30,Adore You,Harry Styles,16183348,2020-03-06--2020-03-13,global,3jjujdWJ72nww5eGnfs2E7
31,Lo Mein,Lil Uzi Vert,16121763,2020-03-06--2020-03-13,global,6CUP2khYzdphXebxVTfPE3
32,everything i wanted,Billie Eilish,15786729,2020-03-06--2020-03-13,global,3ZCTVFBt2Brf31RLEnCkWJ
33,No Time To Die,Billie Eilish,15278508,2020-03-06--2020-03-13,global,73SpzrcaHk0RQPFP73vqVR
34,bad guy,Billie Eilish,15152307,2020-03-06--2020-03-13,global,2Fxmhks0bxGSBdJ92vM42m
35,Yo Perreo Sola,Bad Bunny,15042972,2020-03-06--2020-03-13,global,0SqqAgdovOE24BzxIClpjw
36,Silly Watch,Lil Uzi Vert,14661790,2020-03-06--2020-03-13,global,5egD7A5x9AHdVO2fMo3Wbo
37,Physical,Dua Lipa,14457363,2020-03-06--2020-03-13,global,5px6upUHM3fhOP621Edp4V
38,Rojo,J Balvin,14266798,2020-03-06--2020-03-13,global,4uziEsK1yiqdauKVDPsmVG
39,Before You Go,Lewis Capaldi,14065736,2020-03-06--2020-03-13,global,2gMXnyrvIjhVBUZwvLZDMP
40,Señorita,Shawn Mendes,14021665,2020-03-06--2020-03-13,global,6v3KW9xbzN5yKLt9YKDYA2
41,After Hours,The Weeknd,13857009,2020-03-06--2020-03-13,global,4ejyZ4uJEXUURcgKp1kP8v
42,You should be sad,Halsey,13776499,2020-03-06--2020-03-13,global,7lidXGPXPYLNThITAOTlkK
43,Sigues Con El,Dímelo Flow,13400960,2020-03-06--2020-03-13,global,7sQKy5vlPQllr0k9IjYJv3
44,Pero Ya No,Bad Bunny,13005967,2020-03-06--2020-03-13,global,75pQqzwgCjUOSSy5CpmAjy
45,RITMO (Bad Boys For Life),Black Eyed Peas,12970153,2020-03-06--2020-03-13,global,6cy3ki60hLwimwIje7tALf
46,I Love Me,Demi Lovato,12811166,2020-03-06--2020-03-13,global,2IHLaN6wwYKQ3S24NsQqpA
47,My Oh My (feat. DaBaby),Camila Cabello,12589498,2020-03-06--2020-03-13,global,3yOlyBJuViE2YSGn3nVE1K
48,Morado,J Balvin,12586558,2020-03-06--2020-03-13,global,3mQ6SLdxxaL52Yte7KF2Ks
49,Supalonely,BENEE,12085039,2020-03-06--2020-03-13,global,4nK5YrxbMGZstTLbvj6Gxw
50,Moral of the Story,Ashe,12068945,2020-03-06--2020-03-13,global,2nC3QhMI9reBIOWutbU3Tj
51,Homecoming,Lil Uzi Vert,12068329,2020-03-06--2020-03-13,global,6vxU64pcIuQ38O015Zy4qj
52,I'm Sorry,Lil Uzi Vert,11828199,2020-03-06--2020-03-13,global,1xcOYJxDa5pObgxY1r0I9c
53,Prices,Lil Uzi Vert,11412571,2020-03-06--2020-03-13,global,4YcWzLSnGqLjSCycuSMHnn
54,High Fashion (feat. Mustard),Roddy Ricch,11375719,2020-03-06--2020-03-13,global,07KXEDMj78x68D884wgVEm
55,WHATS POPPIN,Jack Harlow,10889702,2020-03-06--2020-03-13,global,3Q6F8RByyhRTJpRtZLY3cg
56,Hola - Remix,Dalex,10699196,2020-03-06--2020-03-13,global,5stPVcRqb4qixbafP9e8lt
57,Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert,10691864,2020-03-06--2020-03-13,global,2fOlBMkWR7lXJfqp5VTbDG
58,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,10650207,2020-03-06--2020-03-13,global,0RiRZpuVRbi7oqRdSMwhQY
59,Ride It,Regard,10588562,2020-03-06--2020-03-13,global,2tnVG71enUj33Ic2nFN6kZ
60,POP,Lil Uzi Vert,10484727,2020-03-06--2020-03-13,global,1jDbQz6tr52WgScCTXMnaN
61,Celebration Station,Lil Uzi Vert,10396969,2020-03-06--2020-03-13,global,25B5fGr9K0VdZJiRFsnMO4
62,Diosa,Myke Towers,10359508,2020-03-06--2020-03-13,global,3JHpk0DOTOzyh0777JFAky
63,Lose Control,MEDUZA,10092989,2020-03-06--2020-03-13,global,7CHi4DtfK4heMlQaudCuHK
64,Bigger Than Life,Lil Uzi Vert,9974143,2020-03-06--2020-03-13,global,2oHDJHNondITqbl8xZ9vPn
65,I Don't Care (with Justin Bieber),Ed Sheeran,9914294,2020-03-06--2020-03-13,global,0hVXuCcriWRGvwMV1r5Yn9
66,Bichiyal,Bad Bunny,9880426,2020-03-06--2020-03-13,global,4j4w4CXm6BSr0s25wAWrrX
67,Tattoo,Rauw Alejandro,9856446,2020-03-06--2020-03-13,global,7na7Bk98usp84FaOJFPv3d
68,Venetia,Lil Uzi Vert,9824605,2020-03-06--2020-03-13,global,3BYIzNZ3t9lRQCACXSMLrT
69,A Tu Merced,Bad Bunny,9784322,2020-03-06--2020-03-13,global,4r9jkMEnArtWGH2rL2FZl0
70,Forever (feat. Post Malone & Clever),Justin Bieber,9724934,2020-03-06--2020-03-13,global,2ZlCGeK30BLRNSPC832pNZ
71,To Die For,Sam Smith,9722034,2020-03-06--2020-03-13,global,2ZTYlnhhV1UAReg7wIGolx
72,hot girl bummer,blackbear,9611357,2020-03-06--2020-03-13,global,7aiClxsDWFRQ0Kzk5KI5ku
73,You Better Move,Lil Uzi Vert,9533898,2020-03-06--2020-03-13,global,6YAxCn4juTWn5hWl2hzHGw
74,CITY OF ANGELS,24kGoldn,9517415,2020-03-06--2020-03-13,global,6ap9lSRJ0iLriGLqoJ44cq
75,lovely (with Khalid),Billie Eilish,9413297,2020-03-06--2020-03-13,global,0u2P5u6lvoDfwTYjAADbn4
76,Soliá,Bad Bunny,9340683,2020-03-06--2020-03-13,global,7sOfmPd18RWp3FoCzpa7Kw
77,Keii,Anuel AA,9335232,2020-03-06--2020-03-13,global,5eEQCfq7MXQr6aHLNRUZLs
78,"10,000 Hours (with Justin Bieber)",Dan + Shay,9225155,2020-03-06--2020-03-13,global,2wrJq5XKLnmhRXHIAf9xBa
79,What A Man Gotta Do,Jonas Brothers,9063194,2020-03-06--2020-03-13,global,4wNIkl5XGiAACjFBlDWuSd
80,25/8,Bad Bunny,8949422,2020-03-06--2020-03-13,global,4NqQaovM14WR2hNPMFxgjb
81,Se Me Olvidó,Christian Nodal,8725767,2020-03-06--2020-03-13,global,5Xitt5a5uLQ1QtYdFxmi9e
82,What If I Told You That I Love You,Ali Gatie,8641616,2020-03-06--2020-03-13,global,3cqPu20DGTGUoZtbJH2Dmi
83,Está Cabrón Ser Yo,Bad Bunny,8607384,2020-03-06--2020-03-13,global,4saHEjXw7O1NXJOzBkUKKG
84,Beautiful People (feat. Khalid),Ed Sheeran,8525214,2020-03-06--2020-03-13,global,70eFcWOvlMObDhURTqT4Fv
85,Muévelo,Nicky Jam,8520013,2020-03-06--2020-03-13,global,4VgYtXCVJ7IbWAZ5ryfvEQ
86,Hablamos Mañana,Bad Bunny,8478676,2020-03-06--2020-03-13,global,1V8XneTrX6kKeoxYbk4x6h
87,Ballin' (with Roddy Ricch),Mustard,8477579,2020-03-06--2020-03-13,global,3QzAOrNlsabgbMwlZt7TAY
88,HIGHEST IN THE ROOM,Travis Scott,8421659,2020-03-06--2020-03-13,global,3eekarcy7kvN4yt5ZFzltW
89,Me Gusta,Shakira,8324124,2020-03-06--2020-03-13,global,5Xhqh4lwJPtMUTsdBztN1a
90,Shallow,Lady Gaga,8312491,2020-03-06--2020-03-13,global,2VxeLyX666F8uXCJ0dZF8B
91,Suicidal,YNW Melly,8299173,2020-03-06--2020-03-13,global,1iSqfoUFnQwV0QW1EfUit8
92,when the party's over,Billie Eilish,8245898,2020-03-06--2020-03-13,global,43zdsphuZLzwA9k4DJhU0I
93,Chrome Heart Tags,Lil Uzi Vert,8219307,2020-03-06--2020-03-13,global,46mT9NR7N9Zf5MolcrBgE3
94,Know Your Worth,Khalid,8186922,2020-03-06--2020-03-13,global,0TrPqhAMoaKUFLR7iYDokf
95,Lucid Dreams,Juice WRLD,8176125,2020-03-06--2020-03-13,global,285pBltuF7vW8TeWk8hdRR
96,If the World Was Ending - feat. Julia Michaels,JP Saxe,8159326,2020-03-06--2020-03-13,global,2kJwzbxV2ppxnQoYw4GLBZ
97,LA CANCIÓN,J Balvin,8002193,2020-03-06--2020-03-13,global,0fea68AdmYNygeTGI4RC18
98,Que Malo,Bad Bunny,7973160,2020-03-06--2020-03-13,global,53v2u51nq3CxiKUNphRzP1
99,China,Anuel AA,7939446,2020-03-06--2020-03-13,global,2ksOAxtIxY8yElEWw8RhgK
100,La Zona,Bad Bunny,7918726,2020-03-06--2020-03-13,global,5kqNIqFjijuzvVLhuY9B8j
101,Lose You To Love Me,Selena Gomez,7881482,2020-03-06--2020-03-13,global,4l0Mvzj72xxOpRrp6h8nHi
102,Bust Me,Lil Uzi Vert,7828045,2020-03-06--2020-03-13,global,4wBcaYqLPm7EtDVoJQORU4
103,ON,BTS,7770074,2020-03-06--2020-03-13,global,2QyuXBcV1LJ2rq01KhreMF
104,rockstar (feat. 21 Savage),Post Malone,7751709,2020-03-06--2020-03-13,global,0e7ipj03S05BNilyu5bRzt
105,Callaita,Bad Bunny,7713775,2020-03-06--2020-03-13,global,2TH65lNHgvLxCKXM3apjxI
106,Never Seen the Rain,Tones And I,7592001,2020-03-06--2020-03-13,global,2grAr8pWMuLWn8ZYEE9wDV
107,Boss Bitch,Doja Cat,7583588,2020-03-06--2020-03-13,global,78qd8dvwea0Gosb6Fe6j3k
108,Una Vez,Bad Bunny,7552126,2020-03-06--2020-03-13,global,5J7teKIJGtqVypgYI6sqXj
109,BOP,DaBaby,7546240,2020-03-06--2020-03-13,global,6Ozh9Ok6h4Oi1wUSLtBseN
110,Watermelon Sugar,Harry Styles,7526768,2020-03-06--2020-03-13,global,6UelLqGlWMcVH1E5c4H7lY
111,Goodbyes (Feat. Young Thug),Post Malone,7458397,2020-03-06--2020-03-13,global,6vBdBCoOhKHiYDDOcorfNo
112,Feel Me,Selena Gomez,7451721,2020-03-06--2020-03-13,global,4MdcsdRj7i8eBm0qFjO4L4
113,Who (feat. BTS),Lauv,7429546,2020-03-06--2020-03-13,global,2qG81jL9UIP54uS8gYyP4k
114,7 rings,Ariana Grande,7412522,2020-03-06--2020-03-13,global,6ocbgoVGwYJhOv1GgI9NsF
115,Fantasias,Rauw Alejandro,7366337,2020-03-06--2020-03-13,global,6mAN61JH0dzyZpWslS11jy
116,SUGAR,BROCKHAMPTON,7276519,2020-03-06--2020-03-13,global,6U0FIYXCQ3TGrk4tFpLrEA
117,René,Residente,7240117,2020-03-06--2020-03-13,global,6gm12xlADJwiBbHIKBXzGW
118,It's You,Ali Gatie,7156674,2020-03-06--2020-03-13,global,5DqdesEfbRyOlSS3Tf6c29
