Position,Track Name,Artist,Streams,date,region,spotify_id
1,Dance Monkey,Tones And I,7239622,2020-02-01,global,1rgnBhdG2JDFTbYkYRZAku
2,The Box,Roddy Ricch,6827585,2020-02-01,global,0nbXyq5TXYPCO7pr3N8S4I
3,Blinding Lights,The Weeknd,5582605,2020-02-01,global,0sf12qNH5qcw8qpgymFOqD
4,Tusa,KAROL G,5491796,2020-02-01,global,7k4t7uLgtOxPwTpFmtJNTY
5,Don't Start Now,Dua Lipa,4609371,2020-02-01,global,6WrI0LAC5M1Rw2MnX2ZvEg
6,Yummy,Justin Bieber,4563501,2020-02-01,global,41L3O37CECZt3N7ziG2z7l
7,ROXANNE,Arizona Zervas,4353860,2020-02-01,global,696DnlkuDOXcMAnKlTgXXK
8,Godzilla (feat. Juice WRLD),Eminem,4335663,2020-02-01,global,7FIWs0pqAYbP91WWM0vlTQ
9,Life Is Good (feat. Drake),Future,4182869,2020-02-01,global,5yY9lUy8nbvjM1Uyo1Uqoc
10,Falling,Trevor Daniel,4155233,2020-02-01,global,4TnjEaWOeW0eKTKIEvJyCa
11,everything i wanted,Billie Eilish,3675856,2020-02-01,global,3ZCTVFBt2Brf31RLEnCkWJ
12,Memories,Maroon 5,3281378,2020-02-01,global,2b8fOow8UzyDFAE27YhOZM
13,Circles,Post Malone,3207890,2020-02-01,global,21jGcNKet2qwijlDFuPiPb
14,bad guy,Billie Eilish,3110330,2020-02-01,global,2Fxmhks0bxGSBdJ92vM42m
15,RITMO (Bad Boys For Life),Black Eyed Peas,3032118,2020-02-01,global,6cy3ki60hLwimwIje7tALf
16,Someone You Loved,Lewis Capaldi,2862695,2020-02-01,global,7qEHsqek33rTcFNT9PFqLf
17,Señorita,Shawn Mendes,2721542,2020-02-01,global,6v3KW9xbzN5yKLt9YKDYA2
18,Physical,Dua Lipa,2405433,2020-02-01,global,5px6upUHM3fhOP621Edp4V
19,Sigues Con El,Dímelo Flow,2392969,2020-02-01,global,7sQKy5vlPQllr0k9IjYJv3
20,You should be sad,Halsey,2384312,2020-02-01,global,7lidXGPXPYLNThITAOTlkK
21,My Oh My (feat. DaBaby),Camila Cabello,2250520,2020-02-01,global,3yOlyBJuViE2YSGn3nVE1K
22,Adore You,Harry Styles,2224833,2020-02-01,global,3jjujdWJ72nww5eGnfs2E7
23,Vete,Bad Bunny,2146440,2020-02-01,global,5DxXgozhkPLgrbKFY91w0c
24,Before You Go,Lewis Capaldi,2139056,2020-02-01,global,2gMXnyrvIjhVBUZwvLZDMP
25,Lose You To Love Me,Selena Gomez,2118650,2020-02-01,global,4l0Mvzj72xxOpRrp6h8nHi
26,Say So,Doja Cat,2079883,2020-02-01,global,3Dv1eDb0MEgF93GpLXlucZ
27,Suicidal,YNW Melly,2073721,2020-02-01,global,1iSqfoUFnQwV0QW1EfUit8
28,Ride It,Regard,2027467,2020-02-01,global,2tnVG71enUj33Ic2nFN6kZ
29,Hola - Remix,Dalex,2002507,2020-02-01,global,5stPVcRqb4qixbafP9e8lt
30,Morado,J Balvin,1890067,2020-02-01,global,3mQ6SLdxxaL52Yte7KF2Ks
31,Lose Control,MEDUZA,1888505,2020-02-01,global,7CHi4DtfK4heMlQaudCuHK
32,Fantasias,Rauw Alejandro,1871750,2020-02-01,global,6mAN61JH0dzyZpWslS11jy
33,Rare,Selena Gomez,1829622,2020-02-01,global,7HMmFQsKsljwTw8bS7lu19
34,What A Man Gotta Do,Jonas Brothers,1772918,2020-02-01,global,4wNIkl5XGiAACjFBlDWuSd
35,Muévelo,Nicky Jam,1744669,2020-02-01,global,4VgYtXCVJ7IbWAZ5ryfvEQ
36,Roses - Imanbek Remix,SAINt JHN,1719156,2020-02-01,global,24Yi9hE78yPEbZ4kxyoXAI
37,hot girl bummer,blackbear,1703673,2020-02-01,global,7aiClxsDWFRQ0Kzk5KI5ku
38,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1691344,2020-02-01,global,0RiRZpuVRbi7oqRdSMwhQY
39,I Don't Care (with Justin Bieber),Ed Sheeran,1683866,2020-02-01,global,0hVXuCcriWRGvwMV1r5Yn9
40,BOP,DaBaby,1679088,2020-02-01,global,6Ozh9Ok6h4Oi1wUSLtBseN
41,Ballin' (with Roddy Ricch),Mustard,1674469,2020-02-01,global,3QzAOrNlsabgbMwlZt7TAY
42,China,Anuel AA,1655580,2020-02-01,global,2ksOAxtIxY8yElEWw8RhgK
43,when the party's over,Billie Eilish,1652825,2020-02-01,global,43zdsphuZLzwA9k4DJhU0I
44,Ayy Macarena,Tyga,1651156,2020-02-01,global,6LcauUZjF1eXQrgqMUecHX
45,Get Me,Justin Bieber,1631643,2020-02-01,global,6zGPytJiZmFuyVq7RTNO9G
46,What If I Told You That I Love You,Ali Gatie,1630147,2020-02-01,global,3cqPu20DGTGUoZtbJH2Dmi
47,SUGAR,BROCKHAMPTON,1596149,2020-02-01,global,6U0FIYXCQ3TGrk4tFpLrEA
48,HIGHEST IN THE ROOM,Travis Scott,1595141,2020-02-01,global,3eekarcy7kvN4yt5ZFzltW
49,Bandit (with YoungBoy Never Broke Again),Juice WRLD,1540141,2020-02-01,global,6Gg1gjgKi2AK4e0qzsR7sd
50,Me Gusta,Shakira,1538184,2020-02-01,global,5Xhqh4lwJPtMUTsdBztN1a
51,Good News,Mac Miller,1521477,2020-02-01,global,1DWZUa5Mzf2BwzpHtgbHPY
52,"I Do It (ft. Big Sean, Lil Baby)",Lil Wayne,1461319,2020-02-01,global,1bRO28yzxgO3y3UmNR29TZ
53,Beautiful People (feat. Khalid),Ed Sheeran,1434671,2020-02-01,global,70eFcWOvlMObDhURTqT4Fv
54,lovely (with Khalid),Billie Eilish,1431512,2020-02-01,global,0u2P5u6lvoDfwTYjAADbn4
55,Lucid Dreams,Juice WRLD,1430472,2020-02-01,global,285pBltuF7vW8TeWk8hdRR
56,No Idea,Don Toliver,1429781,2020-02-01,global,3VyjsVV24RmBIbWJAeUJNu
57,High Fashion (feat. Mustard),Roddy Ricch,1405558,2020-02-01,global,07KXEDMj78x68D884wgVEm
58,"10,000 Hours (with Justin Bieber)",Dan + Shay,1391412,2020-02-01,global,2wrJq5XKLnmhRXHIAf9xBa
59,Whine Up,Nicky Jam,1376024,2020-02-01,global,2pWOMNQJW3g2zmGjP0Vkb0
60,Black Swan,BTS,1362077,2020-02-01,global,24NuEDgyRIljwSyY0lsr7b
61,Watermelon Sugar,Harry Styles,1355707,2020-02-01,global,6UelLqGlWMcVH1E5c4H7lY
62,No Me Conoce - Remix,Jhay Cortez,1335572,2020-02-01,global,4R8BJggjosTswLxtkw8V7P
63,Lalala,Y2K,1313737,2020-02-01,global,51Fjme0JiitpyXKuyQiCDo
64,LA CANCIÓN,J Balvin,1306654,2020-02-01,global,0fea68AdmYNygeTGI4RC18
65,7 rings,Ariana Grande,1303987,2020-02-01,global,6ocbgoVGwYJhOv1GgI9NsF
66,Only The Young - Featured in Miss Americana,Taylor Swift,1301789,2020-02-01,global,2slqvGLwzZZYsT4K4Y1GBC
67,Callaita,Bad Bunny,1283828,2020-02-01,global,2TH65lNHgvLxCKXM3apjxI
68,Adicto (with Anuel AA & Ozuna),Tainy,1236646,2020-02-01,global,3jbT1Y5MoPwEIpZndDDwVq
69,Old Town Road - Remix,Lil Nas X,1233844,2020-02-01,global,2YpeDb67231RjR0MgVLzsG
70,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,1229151,2020-02-01,global,2FvD20Z8aoWIePi7PoN8sG
71,If the World Was Ending - feat. Julia Michaels,JP Saxe,1227808,2020-02-01,global,2kJwzbxV2ppxnQoYw4GLBZ
72,Blanco,J Balvin,1180554,2020-02-01,global,2rc7BkzO8qepMFAxHtOrXc
73,Que Tire Pa Lante,Daddy Yankee,1156460,2020-02-01,global,6RyaV7owmVU6fzEPE17sF1
74,Shallow,Lady Gaga,1155348,2020-02-01,global,2VxeLyX666F8uXCJ0dZF8B
75,Aventura,Lunay,1117902,2020-02-01,global,37zdqI4r1gswIzczSBkRon
76,Futsal Shuffle 2020,Lil Uzi Vert,1105083,2020-02-01,global,2Ec33AVlkTTq8BHFgBTdQs
77,Ransom,Lil Tecca,1101363,2020-02-01,global,1lOe9qE0vR9zwWQAOk6CoO
78,Woah,Lil Baby,1099626,2020-02-01,global,598yNsG1JFrGd4n2kMoz7F
79,Sunday Best,Surfaces,1096691,2020-02-01,global,1Cv1YLb4q0RzL6pybtaMLo
80,Liberdade Provisória - Ao Vivo,Henrique & Juliano,1094251,2020-02-01,global,3Ghyp3X5Ua9ypHnBIgOObI
81,Eleven,Khalid,1093012,2020-02-01,global,1ToprX3cpBiXoAe5eNSk74
82,Bellaquita - Remix,Dalex,1091890,2020-02-01,global,1Xnn1TPyr5h0hpRAT4B4EA
83,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,1091796,2020-02-01,global,4vUmTMuQqjdnvlZmAH61Qk
84,Goodbyes (Feat. Young Thug),Post Malone,1085074,2020-02-01,global,6vBdBCoOhKHiYDDOcorfNo
85,Baby,Joker Bra,1083498,2020-02-01,global,1V7JaMp11LKGwKiVmSetf0
86,It's You,Ali Gatie,1073835,2020-02-01,global,5DqdesEfbRyOlSS3Tf6c29
87,Heartless,The Weeknd,1064976,2020-02-01,global,57vxBYXtHMk6H1aD29V7PU
88,Happier,Marshmello,1055073,2020-02-01,global,2dpaYNEQHiRxtZbfNsse99
89,"Alone, Pt. II",Alan Walker,1040587,2020-02-01,global,0bMbDctzMmTyK2j74j3nF3
90,How Do You Sleep?,Sam Smith,1034036,2020-02-01,global,6b2RcmUt1g9N9mQ3CbjX2Y
91,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,1030012,2020-02-01,global,4QPEwDdOMhY7rNS05mTyMR
92,Without Me,Halsey,1021671,2020-02-01,global,6FZDfxM3a3UCqtzo5pxSLZ
93,OUT WEST (feat. Young Thug),JACKBOYS,1018629,2020-02-01,global,6gi6y1xwmVszDWkUqab1qw
94,Believer,Imagine Dragons,1008159,2020-02-01,global,0pqnGHJpmpxLKifKRmU6WP
95,VIBEZ,DaBaby,1003435,2020-02-01,global,0fySG6A6qLE8IvDpayb5bM
96,Indeciso,Reik,1001285,2020-02-01,global,59s0s39NFWScuHDbHytI14
97,bury a friend,Billie Eilish,997825,2020-02-01,global,4SSnFejRGlZikf02HLewEF
98,Quizas,Rich Music LTD,993345,2020-02-01,global,5Id5B3dxJZhPcV9GzgYZZe
99,Sucker,Jonas Brothers,991993,2020-02-01,global,22vgEDb5hykfaTwLuskFGD
100,Bohemian Rhapsody - 2011 Mix,Queen,987807,2020-02-01,global,4u7EnebtmKWzUH433cf5Qv
101,Robbery,Juice WRLD,979191,2020-02-01,global,6Hj9jySrnFppAI0sEMCZpJ
102,Forever Yours - Avicii Tribute,Kygo,977055,2020-02-01,global,3o1CUVeHIid49sabk6A6Nf
103,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,975341,2020-02-01,global,7h0d2h0fUmzbs7zeFigJPn
104,Anyone,Demi Lovato,972596,2020-02-01,global,18ssFhD04lWo1RzpcohnrG
105,rockstar (feat. 21 Savage),Post Malone,965278,2020-02-01,global,0e7ipj03S05BNilyu5bRzt
106,Never Seen the Rain,Tones And I,964690,2020-02-01,global,2grAr8pWMuLWn8ZYEE9wDV
107,Yellow Hearts,Ant Saunders,959319,2020-02-01,global,2W4yABdLc4Jnds67Poi5Nl
108,Wow.,Post Malone,952974,2020-02-01,global,7xQAfvXzm3AkraOtGPWIZg
109,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,946117,2020-02-01,global,07Oz5StQ7GRoygNLaXs2pd
110,Piece Of Your Heart,MEDUZA,945812,2020-02-01,global,1DFD5Fotzgn6yYXkYsKiGs
111,Money In The Grave (Drake ft. Rick Ross),Drake,940272,2020-02-01,global,5ry2OE6R2zPQFDO85XkgRb
112,Shape of You,Ed Sheeran,935045,2020-02-01,global,7qiZfU4dY1lWllzX7mPBI3
113,Bruises,Lewis Capaldi,929581,2020-02-01,global,4Of7rzpRpV1mWRbhp5rAqG
114,"Yo x Ti, Tu x Mi",ROSALÍA,928831,2020-02-01,global,7BlBVFwvbWvcwNcUarQmjk
115,Si Te Vas,Sech,922976,2020-02-01,global,6Y4PDQv4XjYjHLeLmvyOt0
116,Truth Hurts,Lizzo,910839,2020-02-01,global,3HWzoMvoF3TQfYg4UPszDq
117,ocean eyes,Billie Eilish,902324,2020-02-01,global,2uIX8YMNjGMD7441kqyyNU
118,Soltera - Remix,Lunay,901182,2020-02-01,global,4t9a07PAghtQMRAIP9FQ7Z
